sensor,mutual_information
US14,0.5957237730102767
US17,0.508205284335363
US18,0.4523296399234813
US13,0.4165673996018797
US19,0.41415760235400767
US22,0.3860526046942028
US05,0.3764006563627236
US12,0.3746266375017293
US16,0.3740947265481429
US11,0.3701408412580016
US04,0.36815868970624277
US03,0.36515500650596366
US07,0.3558832863201682
US23,0.3386121036291445
US08,0.3213564169254193
US15,0.3210741073780392
US09,0.3091821665558687
US01,0.30512472239914046
US02,0.3012129012442115
US06,0.29614492472200427
US10,0.2928864038141623
US00,0.28189671689987517
US21,0.27909345832660737
US20,0.2660757584227893
