query_id,start,goal,algorithm,path,hops,path_cost_km,expanded,max_frontier,runtime_ms
Q1,KUL,KEF,BFS,KUL -> AMS -> KEF,2,12274.31753121269,284,1679,4.878499981714413
Q1,KUL,KEF,DFS,KUL -> ADL -> CNS -> GUM -> CTS -> HIJ -> DLC -> CGO -> BAV -> NAY -> HLD -> COQ -> ULN -> FRU -> CEK -> EVN -> AER -> KIV -> BLQ -> ACE -> BFS -> DBV -> BGO -> KEF,23,41767.82327702519,2112,859,4.061699990415946
Q1,KUL,KEF,UCS,KUL -> HKT -> LED -> HEL -> KEF,4,11461.348578050694,1851,616,6.83620001655072
Q2,SIN,EZE,BFS,SIN -> AMS -> EZE,2,21976.108024099405,233,1629,3.0189999961294234
Q2,SIN,EZE,DFS,SIN -> ADL -> CNS -> GUM -> CTS -> HIJ -> DLC -> CGO -> BAV -> NAY -> HLD -> COQ -> ULN -> FRU -> ALA -> GYD -> ASB -> BHX -> ABZ -> BGO -> BLL -> AAL -> AAR -> BMA -> MMX -> BEG -> ATH -> AMM -> ADE -> ASM -> JUB -> ADD -> ACC -> ABJ -> CKY -> OXB -> RAI -> BOS -> ATL -> EZE,39,65213.83567240245,904,858,3.025600017281249
Q2,SIN,EZE,UCS,SIN -> JNB -> GRU -> EZE,3,17817.356252826285,3002,620,8.27780002146028
Q3,NRT,CPT,BFS,NRT -> AMS -> CPT,2,19005.893768605238,173,1727,3.0829999886918813
Q3,NRT,CPT,DFS,NRT -> AKL -> PER -> HKT -> CKG -> CGO -> BAV -> CIF -> HLD -> COQ -> NZH -> IKT -> ABA -> NSK -> AER -> EVN -> ATH -> ADB -> ADA -> EBL -> GOT -> AAR -> AAL -> BLL -> AHO -> AOI -> CTA -> BRI -> CAG -> KRK -> BFS -> ACE -> BIO -> IBZ -> BRN -> OLB -> BOD -> AJA -> AVN -> LIG -> SOU -> JER -> DSA -> KTW -> KUT -> DOK -> DWC -> AMD -> BLR -> CCJ -> AAN -> PEW -> DSK -> PZH -> UET -> MHD -> MED -> AHB -> ADE -> ASM -> JUB -> ADD -> ACC -> WDH -> CPT,64,91541.43195914895,1414,785,3.270100016379729
Q3,NRT,CPT,UCS,NRT -> HKG -> MRU -> CPT,3,14813.319264012905,3042,1018,8.456000010482967
